"Name","training_start_time","num_transformations","num_replacements","out_of_style_prob","State","Notes","User","Tags","Created","Runtime","augmentation_seed","batch_size","d_model","dataset_processed_time","dim_forward","dropout","epochs","grad_clip","hit_sigmoid_in_forward","learning_rate","loss_penalty","n_heads","n_layers","seed_examples_sets","test_data_size","torch_seed","training_data_size","epoch","grad_norm","hit_accuracy","hits_loss","offsets_loss","test_loss","training_loss","training_sample","velocities_loss"
"ensign-resistance-122","1712437156","1","2","0.25","finished","-","dfloresgarcia24","","2024-04-06T20:59:16.000Z","2312","42","16","128","1712437118","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","2075","42","33429","50","3.4148716926574707","0.8826873302459717","0.9619383811950684","0.01340082660317421","3.6823425971544705","1.0765488147735596","32768","0.10120965540409088"
"hearty-blaze-97","1711258336","1","2","0.5","finished","-","dfloresgarcia24","","2024-03-24T05:32:16.000Z","2489","42","16","128","1711258234","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","4150","42","34074","50","2.66528058052063","0.9048193693161012","0.7716728448867798","0.01130334660410881","3.5661960060779867","0.9331768751144408","32768","0.15020066499710083"
"dazzling-night-94","1711253355","1","1","1","finished","-","dfloresgarcia24","","2024-03-24T04:09:16.000Z","2407","42","16","128","1711253315","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","4150","42","34074","50","2.530625343322754","0.8926073312759399","1.1166317462921145","0.018874868750572205","3.612757691970238","1.3670235872268677","32768","0.23151692748069763"
"polar-puddle-92","1711250921","1","1","0.5","finished","-","dfloresgarcia24","","2024-03-24T03:28:41.000Z","2393","42","16","128","1711250881","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","4150","42","34074","50","2.316902875900269","0.8923001885414124","1.0694096088409424","0.01480636652559042","3.615079309390141","1.3076329231262207","32768","0.22341695427894592"
"emissary-first-contact-110","1712413027","1","4","0.25","finished","-","dfloresgarcia24","","2024-04-06T14:17:08.000Z","2148","42","16","128","1712412986","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","2075","42","33431","50","0.7819889187812805","0.8412493467330933","0.11980749666690826","0.003836203832179308","3.9456855975664578","0.1399230808019638","32768","0.01627938821911812"
"romulan-t-pol-115","1712423247","1","1","0.25","finished","-","dfloresgarcia24","","2024-04-06T17:07:28.000Z","2293","42","16","128","1712423210","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","2075","42","33246","50","2.43778133392334","0.8870659470558167","0.8683244585990906","0.02131647989153862","3.6448430391458366","1.0315278768539429","32768","0.141886904835701"
"golden-sponge-95","1711255806","1","2","0","finished","-","dfloresgarcia24","","2024-03-24T04:50:06.000Z","2427","42","16","128","1711255764","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","4150","42","34074","50","2.3477089405059814","0.9024865031242372","0.8353866338729858","0.012153702788054945","3.571736804338602","1.0085055828094482","32768","0.1609652042388916"
"rosy-glitter-90","1711248640","1","1","0","finished","-","dfloresgarcia24","","2024-03-24T02:50:42.000Z","2238","42","16","128","1711248599","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","4150","42","34074","50","2.637997627258301","0.8916399478912354","1.0457768440246582","0.016370024532079697","3.616725470469548","1.2862632274627686","32768","0.22411634027957916"
"crisp-river-102","1711265770","1","4","0.5","finished","-","dfloresgarcia24","","2024-03-24T07:36:10.000Z","2404","42","16","128","1711265727","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","4150","42","34074","50","0.31492912769317627","0.9066756963729858","0.02969999611377716","0.0004434506117831915","3.623712534170884","0.03438803553581238","32768","0.004244590178132057"
"cardassian-data-124","1712445292","0","1","0.5","finished","-","dfloresgarcia24","","2024-04-06T23:14:52.000Z","1144","42","16","128","1712445271","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","2075","42","17037","50","2.427421808242798","0.8851094841957092","1.1098847389221191","0.026024311780929565","3.6419294302280134","1.2618207931518557","16384","0.12591172754764557"
